Starting a new procedure
Running matching
Total codeterms to match = 168
Starting to write
Total example blocks to match = 82
Starting to write
PoolingHttpClientConnectionManager(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER
httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

setScheme(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setScheme(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider.setCredentials(), @

cachingClient.execute(), UNIDENTIFIED-TYPE, 2328, 5, 6.3 Example Usage, org.apache.http.impl.client.cache.CachingHttpClient.execute(), @

cookieStore.addCookie(), METHOD, 1574, 9, 3.5 Cookie persistence, org.apache.http.client.CookieStore.addCookie(), @

response1.close(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @

response1.close(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.CloseableHttpResponse.close(), @

response1.close(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.close(), @

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

RequestConfig.copy(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.config.RequestConfig.copy(), @

FutureRequestExecutionService(), METHOD, 2594, 13, 7.3.1 Creating the FutureRequestExecutionService, org.apache.http.impl.client.FutureRequestExecutionService.FutureRequestExecutionService(), @

HttpClients.custom(), METHOD, 477, 9, 1.2 HttpClient interface, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 754, 13, 1.5.4 Request retry handler, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 824, 9, 1.7 Redirect handling, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1176, 9, 2.6 Connection keep alive strategy, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1248, 13, 2.7.2 Integration with connection manager, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1351, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1360, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1370, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1543, 9, 3.4 Custom cookie policy, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 1574, 9, 3.5 Cookie persistence, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 2483, 17, 7.1 Custom client connections, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

HttpClients.custom(), METHOD, 2531, 13, 7.2.1 User token handler, org.apache.http.impl.client.HttpClients.custom(), @CONTROLLER

metrics.getActiveConnectionCount(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getActiveConnectionCount(), @PROPERTY

BasicClientCookie(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.BasicClientCookie(), @

BasicClientCookie(), METHOD, 1574, 9, 3.5 Cookie persistence, org.apache.http.impl.cookie.BasicClientCookie.BasicClientCookie(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

ConnectionRequest, CLASS/INTERFACE, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.conn.ConnectionRequest, @INTERFACE

context.getCookieSpec(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.cookie.CookieSpecRegistry.getCookieSpec(), @

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

cm.setMaxPerRoute(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setMaxPerRoute(), @

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpConnectionFactory, CLASS/INTERFACE, 2474, 17, 7.1 Custom client connections, org.apache.http.HttpConnectionFactory, @

HttpRoute, CLASS/INTERFACE, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.conn.routing.HttpRoute, @DATA_PROVIDER

HttpRoute, CLASS/INTERFACE, 1370, 9, 2.8 HttpClient proxy configuration, org.apache.http.conn.routing.HttpRoute, @DATA_PROVIDER

response2.getEntity(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.entity.mime.MultipartEntity.getEntity(), @

response2.getEntity(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.CloseableHttpResponse.getEntity(), @

response2.getEntity(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.CloseableHttpResponse.getEntity(), @

context.getCacheResponseStatus(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.cache.HttpCacheContext.getCacheResponseStatus(), @

